user_id,product_id,event,timestamp,persona,category,sub_category,price,seller_id
user_1,9c52dcb5-be6f-45fa-b153-b643c3a1c34e,view,2026-06-15 10:50:57.049777,premium,women,Jackets,89.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_1,dc109567-008a-4cdb-960d-b90eb2213450,view,2026-06-15 10:54:57.049777,premium,women,Dresses,59.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_1,dc109567-008a-4cdb-960d-b90eb2213450,add_to_cart,2026-06-15 10:56:57.049777,premium,women,Dresses,59.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_1,dc109567-008a-4cdb-960d-b90eb2213450,purchase,2026-06-15 10:57:57.049777,premium,women,Dresses,59.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_1,c39abd38-4ce1-4955-b313-dde30cf66dfc,view,2026-06-15 11:04:57.049777,premium,women,Jeans,54.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_1,c39abd38-4ce1-4955-b313-dde30cf66dfc,add_to_cart,2026-06-15 11:06:57.049777,premium,women,Jeans,54.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_1,c39abd38-4ce1-4955-b313-dde30cf66dfc,purchase,2026-06-15 11:09:57.049777,premium,women,Jeans,54.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_2,5b2ca3bf-a355-4636-85a2-a4b0c86aa48a,view,2026-07-03 10:50:57.049777,window,men,Shirts,34.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_2,b60baa03-15b3-4e6c-a5c6-8ae32afc9854,view,2026-07-03 10:51:57.049777,window,men,Pants,49.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_2,932e1b64-719d-4bf5-b7a7-03e7c575ed53,view,2026-07-03 10:52:57.049777,window,men,Hoodies,44.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_2,932e1b64-719d-4bf5-b7a7-03e7c575ed53,add_to_cart,2026-07-03 10:54:57.049777,window,men,Hoodies,44.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_3,657fcfda-ba18-4c98-b8bd-97ed27f4ec97,view,2026-06-14 10:50:57.049777,budget,sportswear,T-Shirts,29.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_3,f10b0320-457e-4b5c-bf87-909efe4aa677,view,2026-06-14 10:51:57.049777,budget,sportswear,Leggings,49.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_3,0d1f2e11-42e4-469a-889a-8946dcd0549e,view,2026-06-14 10:54:57.049777,budget,sportswear,Jackets,59.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_4,657fcfda-ba18-4c98-b8bd-97ed27f4ec97,view,2026-07-07 10:50:57.049777,window,sportswear,T-Shirts,29.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_4,f10b0320-457e-4b5c-bf87-909efe4aa677,view,2026-07-07 10:55:57.049777,window,sportswear,Leggings,49.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_4,0d1f2e11-42e4-469a-889a-8946dcd0549e,view,2026-07-07 11:00:57.049777,window,sportswear,Jackets,59.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_5,0d1f2e11-42e4-469a-889a-8946dcd0549e,view,2026-06-16 10:50:57.049777,budget,sportswear,Jackets,59.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_5,657fcfda-ba18-4c98-b8bd-97ed27f4ec97,view,2026-06-16 10:54:57.049777,budget,sportswear,T-Shirts,29.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_5,657fcfda-ba18-4c98-b8bd-97ed27f4ec97,add_to_cart,2026-06-16 10:59:57.049777,budget,sportswear,T-Shirts,29.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
user_5,f10b0320-457e-4b5c-bf87-909efe4aa677,view,2026-06-16 11:01:57.049777,budget,sportswear,Leggings,49.99,4f8ed8da-0474-423d-8a51-0b93b8a0b0da
